Feature,Comment
messaging,The new messaging features are confusing.
search,The new search algorithm is a game changer.
follow,IÕm not satisfied with the new follow/unfollow method.
unfollow,IÕm not satisfied with the new follow/unfollow method.
download,IÕm not happy with the download speeds
comment,I had some trouble with the new comment features.
messaging,The messaging features are a bit confusing.
search,The search algorithm is really impressive.
follow,The new follow/unfollow method is not satisfying.
unfollow,The follow/unfollow method needs improvement.
download,The download speeds are not satisfactory.
comment,The comment features need some work.
messaging,Messaging features could be more intuitive.
search,Search algorithm has significantly improved.
follow,Follow/unfollow method is not user-friendly.
unfollow,Unfollow method is not very intuitive.
download,Download speeds could be better.
comment,Comment features are somewhat problematic.